Apa warna bola Boni?;c1
Di mana Boni mengejar bolanya?;c1
Di mana bola Boni jatuh?;c1
Siapa yang bermain dengan bola Boni?;c1
Ceritakan kembali, mengapa Boni kehilangan bolanya ?;c2
Membaca huruf abjad A-Z;c1
Membuat Kartu Nama. Tulis nama kalian pada kartu ! Lalu, gambar benda kesukaan kalian di baliknya !;c6
Tunjukkan kartu nama dan benda kesukaan kalian di depan kelas. Perkenalkan nama kalian dan ceritakan benda itu. Mengapa kalian menyukainya?;c6
Pisahkan kartu kata yang kata-katanya berawalan bo- dari kartu kata yang kata-katanya berawalan bi- !;c2
Apa yang diceritakan pada gambar di atas?;c2
Mengapa judul gambar itu Pagi yang Sibuk?;c4
Ada berapa orang pada gambar itu?;c1
Ada berapa binatang pada gambar itu?;c1
Bagaimana suasana pagi hari di rumah kalian?;c2
Bunyi apa yang kalian dengar: a. Pada siang hari? b. Pada malam hari?;c2
Mana yang lebih kalian sukai, siang atau malam hari? Mengapa?;c5
Tunjukkan gambar yang menunjukkan suara keras dan suara pelan !;c2
Menulis huruf B;c1
Menyebutkan kata lain yang memiliki suku kata ba-, bu-, be-;c1
Pasar Mana yang terlihat sibuk ?;c1
Apa yang kalian lihat pada gambar pasar yang sibuk ?;c2
Apa bedanya pasar yang sibuk dan pasar yang tidak sibuk ?;c4
Ada di mana binatang-binatang itu?;c1
Permainan apa saja yang kalian lihat pada gambar itu?;c1
Mana gambar yang menunjukkan kegiatan bermain dengan tidak aman? Tunjukkan kepada guru, lalu jelaskan alasan kalian.;c5
Mana gambar yang menunjukkan kegiatan bermain dengan aman? Tunjukkan kepada guru, lalu jelaskan alasan kalian.;c5
Kegiatan bermain apa lagi yang tidak aman untuk anak-anak?;c2
Mana perbuatan yang tidak boleh dilakukan? Mengapa?;c5
Mana perbuatan yang boleh dilakukan? Mengapa?;c5
Kata-kata apa lagi yang dimulai dengan suku kata ha-, hi-, hu-, he-, dan ho-? Tunjukkan kepada guru, ya.;c1
Menulis huruf H;c1
Amati gambar ini. Apa namanya? Tuliskan namanya dengan melengkapi suku kata di sebelahnya, ya.;c1
Tempat apa yang kalian lihat dalam gambar ?;c1
Kegiatan apa yang tidak boleh kalian tiru ? mengapa ?;c5
Di mana tempat bermain yang aman ? Adakah tempat bermain yang aman di dekat rumah kalian ? disebut apakah tempat itu ?;c2
Ada berapa anak pada gambar di atas?;c1
Dari kedua anak pada gambar itu, yang manakah Caca?;c2
Menurutmu, apa yang bisa dilakukan Caca?;c5
Apa isi ceritanya, ya?;c2
Bagaimana cara Caca dapat naik sepeda roda dua ?;c2
Lihat nama teman-teman di kelas kalian. Tulis nama teman yang diawali huruf c;c2
